	Row.names	Clostridium	Lactobacillus	Enterococcus	Escherichia	Klebsiella	Sample_ID_no_rep	Rep	OD600	OD600_corr	OD600_corr_old	OD480	Dox_conc	Dox_R1_corr	Dox_corr_CC0	Time	CI_rel	Lac_rel	EF_rel	EC_rel	KP_rel	log_CI_rel	log_Lac_rel	log_EF_rel	log_EC_rel	log_KP_rel
1	C1-G1-NA-TP0-R1	0.232474536	0.261833433	0.110245656	0.12762133	0.267825045	C1-G1-NA-TP0	R1	53	0	3	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0
2	C1-G1-NA-TP0-R2	0.096385542	0.012048193	0.313253012	0.313253012	0.265060241	C1-G1-NA-TP0	R2	54	0	4	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0
3	C1-G1-NA-TP0-R3	0.055938038	0.153184165	0.464716007	0.234939759	0.091222031	C1-G1-NA-TP0	R3	53	0	3	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0
10	C1-G1-NA-TP3-R1	0.155101198	0.069392813	0.022717885	0.247211896	0.505576208	C1-G1-NA-TP3	R1	151	98	101	NA	NA	NA	NA	3	15.19991739	6.800495663	2.226352747	24.2267658	49.5464684	2.785006143	2.054187278	1.171352319	3.227905566	3.92289308
11	C1-G1-NA-TP3-R2	0.046925566	0.001618123	0.028856526	0.46386192	0.458737864	C1-G1-NA-TP3	R2	202	148	152	NA	NA	NA	NA	3	6.944983819	0.239482201	4.270765912	68.65156419	67.89320388	2.072540763	0.214693712	1.662175686	4.243505158	4.232557536
12	C1-G1-NA-TP3-R3	0.040035942	0.014177316	0.359724441	0.365515176	0.220547125	C1-G1-NA-TP3	R3	193	140	143	NA	NA	NA	NA	3	5.605031949	1.984824281	50.36142173	51.1721246	30.87659744	1.887831775	1.093540878	3.938887341	3.954548341	3.461872118
13	C1-G1-NA-TP6-R1	0.130759925	0.039041021	0.157813703	0.264709117	0.407676234	C1-G1-NA-TP6	R1	427	374	377	NA	NA	NA	NA	6	48.90421203	14.60134169	59.02232487	99.00120972	152.4709117	3.910105409	2.747356916	4.094716574	4.605182283	5.033511049
14	C1-G1-NA-TP6-R2	0.067810626	0.001343808	0.199297085	0.37709324	0.354455241	C1-G1-NA-TP6	R2	439	385	389	NA	NA	NA	NA	6	26.10709117	0.517366136	76.72937771	145.1808973	136.4652677	3.299795361	0.416976027	4.353233277	4.984844877	4.923371287
15	C1-G1-NA-TP6-R3	0.040004813	0.009143957	0.514287433	0.251158034	0.185405763	C1-G1-NA-TP6	R3	424	371	374	NA	NA	NA	NA	6	14.84178548	3.392408109	190.8006377	93.17963063	68.78553811	2.7626511	1.479877621	5.256456487	4.545203923	4.245426798
4	C1-G1-NA-TP12-R1	0.17908617	0.022692426	0.230604109	0.168889911	0.398727384	C1-G1-NA-TP12	R1	523	470	473	NA	NA	NA	NA	12	84.17049985	10.66544005	108.3839313	79.3782582	187.4018706	4.444655128	2.456630629	4.694863999	4.386743719	5.238577291
5	C1-G1-NA-TP12-R2	0.047768775	0.001209336	0.303180554	0.333534889	0.314306446	C1-G1-NA-TP12	R2	473	419	423	NA	NA	NA	NA	12	20.0151167	0.506711815	127.0326521	139.7511186	131.6944008	3.045242022	0.409929671	4.852285326	4.946993215	4.888048746
6	C1-G1-NA-TP12-R3	0.04649468	0.012826119	0.525287859	0.253461595	0.161929748	C1-G1-NA-TP12	R3	464	411	414	NA	NA	NA	NA	12	19.10931351	5.271534762	215.89331	104.1727153	66.55312637	3.001183067	1.836021103	5.379405574	4.655603907	4.212914346
7	C1-G1-NA-TP24-R1	0.080368624	0.008894128	0.178954136	0.180132876	0.551650236	C1-G1-NA-TP24	R1	524	471	474	NA	NA	NA	NA	24	37.85362195	4.189134162	84.2873982	84.84258465	259.827261	3.659801301	1.646566855	4.446026709	4.452515208	5.563858353
8	C1-G1-NA-TP24-R2	0.022519656	0.000212269	0.126195051	0.384533743	0.466539281	C1-G1-NA-TP24	R2	414	360	364	NA	NA	NA	NA	24	8.107076033	0.076416897	45.43021852	138.4321473	167.9541412	2.209051697	0.073637837	3.837950508	4.937578084	5.129627324
9	C1-G1-NA-TP24-R3	0.021412472	0.003005259	0.315552216	0.288129226	0.371900826	C1-G1-NA-TP24	R3	426	373	376	NA	NA	NA	NA	24	7.986851991	1.120961683	117.7009767	107.4722014	138.7190083	2.195762619	0.75186961	4.77660753	4.686493931	4.939633322
16	C1-G2-T1-TP0-R1	0.013513514	0.013513514	0.013513514	0.013513514	0.945945946	C1-G2-T1-TP0	R1	49	0	-1	90	-1.77	0	NA	24.1	0	0	0	0	0	0	0	0	0	0
17	C1-G2-T1-TP0-R2	0.00454907	0.000720981	0.151635663	0.454906989	0.388187297	C1-G2-T1-TP0	R2	44	0	-6	66	-12.86	0	NA	24.1	0	0	0	0	0	0	0	0	0	0
18	C1-G2-T1-TP0-R3	0.008058608	0.023443223	0.307692308	0.40952381	0.251282051	C1-G2-T1-TP0	R3	49	0	-1	95	0.54	0	NA	24.1	0	0	0	0	0	0	0	0	0	0
25	C1-G2-T1-TP3-R1	0.003409837	0.00013101	0.179147566	0.043016399	0.774295188	C1-G2-T1-TP3	R1	108	59	58	90	-1.77	0	NA	27	0.201180356	0.007729595	10.56970637	2.537967562	45.68341612	0.183304703	0.007699875	2.448390162	1.263552427	3.843388986
26	C1-G2-T1-TP3-R2	0.000146886	0.000146886	0.088777001	0.302554395	0.608374833	C1-G2-T1-TP3	R2	97	53	47	85	-4.08	0	NA	27	0.007784959	0.007784959	4.70518105	16.03538291	32.24386612	0.007754812	0.007754812	1.741374718	2.835292529	3.503870273
27	C1-G2-T1-TP3-R3	0.000739098	0.000739098	0.553666749	0.060113328	0.384741726	C1-G2-T1-TP3	R3	68	19	18	94	0.08	0	NA	27	0.014042868	0.014042868	10.51966823	1.14215324	7.310092798	0.01394518	0.01394518	2.444055855	0.76181151	2.117470776
28	C1-G2-T1-TP6-R1	0.001110571	6.93E-05	0.382869464	0.027903105	0.588047517	C1-G2-T1-TP6	R1	390	341	340	93	-0.39	0	NA	30	0.378704822	0.023646072	130.5584873	9.514958648	200.5242031	0.321144524	0.023370834	4.879451523	2.352798876	5.305909489
29	C1-G2-T1-TP6-R2	3.69E-05	3.69E-05	0.421153562	0.183950435	0.394822245	C1-G2-T1-TP6	R2	366	322	316	87	-3.16	0	NA	30	0.011874908	0.011874908	135.6114471	59.23204012	127.1327629	0.011804954	0.011804954	4.917140744	4.098204439	4.853066937
30	C1-G2-T1-TP6-R3	8.91E-05	8.91E-05	0.617052316	0.054271945	0.328497517	C1-G2-T1-TP6	R3	355	306	305	87	-3.16	0	NA	30	0.027267867	0.027267867	188.8180087	16.60721528	100.5202403	0.026902721	0.026902721	5.246065764	2.868308777	4.620258191
19	C1-G2-T1-TP12-R1	0.014001292	4.96E-05	0.32917931	0.036641679	0.620128143	C1-G2-T1-TP12	R1	526	477	476	92	-0.85	0	NA	36	6.678616252	0.023647811	157.018531	17.47808083	295.8011241	2.038439355	0.023372533	5.062712311	2.91658521	5.693062299
20	C1-G2-T1-TP12-R2	6.13E-05	6.13E-05	0.384596534	0.206769693	0.408511179	C1-G2-T1-TP12	R2	446	402	396	85	-4.08	0	NA	36	0.024641412	0.024641412	154.6078068	83.12141655	164.2214938	0.02434271	0.02434271	5.047338783	4.43226119	5.10728696
21	C1-G2-T1-TP12-R3	0.000455982	3.25E-05	0.624499272	0.097514907	0.277497329	C1-G2-T1-TP12	R3	415	366	365	92	-0.85	0	NA	36	0.166889239	0.011898956	228.5667334	35.69045582	101.5640226	0.154341438	0.01182872	5.436193765	3.602516662	4.630487214
22	C1-G2-T1-TP24-R1	0.017422293	0.000989903	0.262918234	0.043357751	0.675311819	C1-G2-T1-TP24	R1	526	477	476	89	-2.23	0	NA	48	8.310433578	0.472183726	125.4119976	20.6816472	322.1237379	2.231135661	0.386746826	4.839546395	3.076466151	5.778035339
23	C1-G2-T1-TP24-R2	0.006051009	0.000142755	0.300245317	0.214090471	0.479470448	C1-G2-T1-TP24	R2	441	397	391	86	-3.62	0	NA	48	2.402250677	0.056673804	119.1973907	84.99391682	190.349768	1.224437177	0.055126054	4.789135314	4.454276559	5.254102999
24	C1-G2-T1-TP24-R3	0.000377763	6.26E-05	0.5219419	0.107536401	0.370081362	C1-G2-T1-TP24	R3	380	331	330	90	-1.77	0	NA	48	0.125039399	0.020712096	172.762769	35.59454878	122.4969308	0.117818056	0.020500517	5.157690972	3.599899289	4.816216304
31	C1-G2-T2-TP0-R1	0.01227184	0.001890359	0.110446559	0.257708637	0.617682606	C1-G2-T2-TP0	R1	49	0	-1	110	7.47	9.24	1	24.1	0	0	0	0	0	0	0	0	0	0
32	C1-G2-T2-TP0-R2	0.001385042	0.005540166	0.129501385	0.351800554	0.511772853	C1-G2-T2-TP0	R2	48	0	-2	112	8.39	21.25	1	24.1	0	0	0	0	0	0	0	0	0	0
33	C1-G2-T2-TP0-R3	0.002066116	0.002066116	0.127291369	0.516653203	0.351923196	C1-G2-T2-TP0	R3	51	0	1	114	9.31	8.78	1	24.1	0	0	0	0	0	0	0	0	0	0
40	C1-G2-T2-TP3-R1	0.001485611	0.000184128	0.060538628	0.049396549	0.888395084	C1-G2-T2-TP3	R1	120	71	70	110	7.47	9.24	1	27	0.105478346	0.013073099	4.298242602	3.507155007	63.07605095	0.100278134	0.012988383	1.667375181	1.505666136	4.160070674
41	C1-G2-T2-TP3-R2	0.00012276	0.00012276	0.109440579	0.270150619	0.620163282	C1-G2-T2-TP3	R2	102	54	52	107	6.08	10.16	0.48	27	0.00662902	0.00662902	5.90979128	14.58813343	33.48881725	0.006607145	0.006607145	1.932939432	2.746509947	3.540635134
